sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname,label
1.0,0.0,5.817737,,,,,,,0.0,6290.85,3.03613,1.232,-0.2292,3.56404,177.059,8.235,7.086,8.14487,EPIC 211432167,0
1.0,0.0,5.817854,,,,,,,0.0,,,,,,174.516,10.2443,,10.0918,EPIC 211432176,0
1.0,0.0,1.671965,,,,,,,0.0,3243.0,0.483697,0.481713,,4.75171,119.437,16.59,11.131,15.0674,EPIC 211432946,0
1.0,0.0,6.663685,,,,,,,0.0,5691.67,1.05709,1.01,-0.4385,4.39416,965.222,15.064,12.915,14.7191,EPIC 211449931,0
1.0,0.0,11.114394,,,,,,,0.0,5904.69,2.44643,1.07,-0.657,3.69039,870.321,12.595,11.025,12.4028,EPIC 211452175,0
1.0,0.0,0.524461,,,,,,,0.0,3112.0,0.200172,0.169168,,5.06358,52.773,18.14,11.742,16.1204,EPIC 211453076,0
1.0,0.0,9.056947,,,,,,,0.0,4942.0,1.05773,0.81,,4.2978,656.243,14.771,12.499,14.5702,EPIC 211453223,0
1.0,0.0,0.737735,,,,,,,0.0,4908.37,1.53058,0.8,-0.004,3.97144,892.766,14.662,12.27,14.4766,EPIC 211468153,0
1.0,0.0,0.799768,,,,,,,0.0,8175.71,1.67093,2.0,-0.307,4.29318,1242.66,12.853,12.253,12.6984,EPIC 211471048,0
1.0,0.0,1.641114,,,,,,,0.0,8231.0,1.10451,2.02,,4.65708,2809.89,15.424,14.735,15.3216,EPIC 211477347,0
1.0,0.0,0.555516,,,,,,,0.0,,,,,,,16.571,13.498,16.136,EPIC 211490299,0
1.0,0.0,1.031746,,,,,,,0.0,7598.94,1.85084,1.77,-0.1772,4.1513,1050.38,12.494,11.517,12.3374,EPIC 211492541,0
1.0,0.0,0.58337,,,,,,,0.0,5802.79,0.742872,1.04,0.34,4.71327,336.045,13.443,10.989,12.9972,EPIC 211493669,0
1.0,0.0,3.247194,,,,,,,0.0,5581.0,1.17125,0.99,,4.29641,1871.14,16.111,14.373,16.0038,EPIC 211509665,0
1.0,0.0,0.715676,,,,,,,0.0,4476.31,7.82356,,0.2198,,911.716,11.805,9.056,11.4692,EPIC 211524114,0
1.0,0.0,0.546969,,,,,,,0.0,5162.92,0.996147,0.87,-0.4212,4.38094,510.106,14.068,11.889,13.8491,EPIC 211524558,0
1.0,0.0,0.682618,,,,,,,0.0,6120.16,2.77001,1.16,-0.1733,3.61756,1262.45,12.993,11.402,12.8077,EPIC 211526186,0
